SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,Unknown,04543,6250
,,Unknown,04811,23750
,,Unknown,04812,3250
,,Unknown,04821,16000
,,Unknown,04831,8500
,,Unknown,04832,0
,,Unknown,04841,25000
,,Unknown,04842,25250
,,Unknown,04851,15500
,,Unknown,04852,0
,,Unknown,04853,2500
,,Unknown,04854,1000
,,Unknown,04855,0
,,Unknown,04859,250
,,Unknown,04861,250
,,Unknown,04862,0
,,Unknown,04869,250
,,Unknown,04871,1750
,,Unknown,04872,2000
,,Unknown,04879,500
,,Unknown,04881,12000
,,Unknown,04882,0
,,Unknown,04883,12250
,,Unknown,04884,6750
,,Unknown,04885,5500
,,Unknown,04889,0
,,Unknown,04911,15250
,,Unknown,04921,13750
,,Unknown,04922,30750
,,Unknown,04931,10500
,,Unknown,05111,10000
,,Unknown,05112,1000
,,Unknown,05121,60750
,,Unknown,05122,250
,,Unknown,05151,2250
,,Unknown,05152,0
,,Unknown,05173,27500
,,Unknown,05174,0
,,Unknown,05179,0
,,Unknown,05182,1250
,,Unknown,05191,7500
,,Unknown,05221,36250
,,Unknown,05222,5500
,,Unknown,05223,2250
,,Unknown,05231,7750
,,Unknown,05232,0
,,Unknown,05239,24000
,,Unknown,05241,21250
,,Unknown,05242,10750
,,Unknown,05261,0
,,Unknown,05269,0
,,Unknown,05311,20750
,,Unknown,05312,25250
,,Unknown,05313,9500
,,Unknown,05321,6250
,,Unknown,05322,5000
,,Unknown,05323,500
,,Unknown,05324,500
,,Unknown,05331,0
,,Unknown,05411,36500
,,Unknown,05412,52500
,,Unknown,05413,85250
,,Unknown,05414,15500
